NOM_ENT,NOM_MUN,INGRESO_HOGAR_TRI,GASTO_MUN_TRI,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Guerrero,Ahuacuotzingo,49334.12493,4127.994526,3.110843215,2.577388124,0.154770993,3.964184655,3.115890071
Guerrero,Ajuchitlán del Progreso,101434.2906,8487.435363,3.311632605,2.580385853,0.493411576,3.61412485,3.209904549
Guerrero,Alcozauca de Guerrero,36830.30927,3081.747477,3.29241461,2.364617016,0.285392397,4.198520345,3.294865756
Guerrero,Alpoyeca,114569.8132,9586.539994,2.430678586,1.880589824,1.454320021,2.837029894,2.340214067
Guerrero,Apaxtla,100967.8926,8448.409873,2.973589577,2.306159922,1.695636617,3.242926941,2.962141277
Guerrero,Arcelia,98742.2392,8262.180053,2.752667246,2.26871007,2.563170385,3.095732823,2.695709171
Guerrero,Atenango del Río,45166.58427,3779.278804,2.70058588,2.428104047,1.050111607,3.527272727,2.705160026
Guerrero,Atlamajalcingo del Monte,61337.70921,5132.385103,3.496006291,2.527134446,0.179160021,4.506542056,3.535538492
Guerrero,Atlixtac,55728.08633,4663.004272,3.073638774,2.29235252,0.253260173,3.87173913,3.093432114
Guerrero,Atoyac de Álvarez,98923.2525,8277.3262,2.807002115,2.067259823,3.295824356,3.007423563,2.632571337
Guerrero,Ayutla de los Libres,83734.68786,7006.434869,2.874795308,2.257281502,0.819154369,3.46487089,3.068983313
Guerrero,Azoyú,85841.54959,7182.724885,3.149817629,2.706660655,0.483190855,3.545452054,3.099940181
Guerrero,Benito Juárez,110951.3459,9283.767559,2.792599047,2.05344325,0.996521188,2.851759544,2.458383626
Guerrero,Buenavista de Cuéllar,106079.8917,8876.152421,2.325693842,1.732245767,4.764604067,2.685865256,2.166376956
Guerrero,Coahuayutla de José María Izazaga,39171.95228,3277.682635,2.986542573,2.384312901,0.14564814,3.429759452,2.899684444
Guerrero,Cocula,93076.32018,7788.088687,2.966877727,2.250382755,2.00719486,3.147693299,2.870830483
Guerrero,Copala,82054.98865,6865.887344,3.004091901,2.421388583,2.136482798,3.529945045,2.968512622
Guerrero,Copalillo,42586.37633,3563.381912,3.426700987,2.767745231,0.10561506,4.218835057,3.450871969
Guerrero,Copanatoyac,59872.57748,5009.791345,3.399672789,2.60936629,0.382468423,4.075,3.433187637
Guerrero,Coyuca de Benítez,92865.55897,7770.453406,3.110278381,2.177174508,2.355073984,3.394922993,3.028489225
Guerrero,Coyuca de Catalán,81104.25006,6786.335032,3.280110166,2.53135296,0.771041458,3.397372592,3.166162273
Guerrero,Cuajinicuilapa,88226.99975,7382.325572,2.94414874,2.519441772,1.29314049,3.503914455,2.895382899
Guerrero,Cualác,54526.32281,4562.447645,2.775764505,2.090340003,0.565582372,3.231644261,2.744189579
Guerrero,Cuautepec,59242.51567,4957.071413,3.474344558,2.581939741,0.469769755,4.108630002,3.48978141
Guerrero,Cuetzala del Progreso,61206.17544,5121.379118,3.192639307,2.66322587,0.23528692,3.687014428,3.204282853
Guerrero,Cutzamala de Pinzón,51080.89718,4274.154335,3.206619886,2.584600234,0.740485206,3.338371444,3.046847884
Guerrero,Chilapa de Álvarez,75656.93952,6330.53556,3.075850353,2.189062801,2.008028444,3.335111102,2.995855975
Guerrero,Chilpancingo de los Bravo,231269.3516,19351.28309,2.84370619,1.782600005,4.165871906,3.004451534,2.695795756
Guerrero,Florencio Villarreal,98483.3936,8240.521349,3.088578313,2.450272796,1.539594246,3.253107225,2.991041471
Guerrero,General Canuto A. Neri,41936.07698,3508.968619,2.760173053,2.299009725,0.397683398,3.265426881,2.755816153
Guerrero,General Heliodoro Castillo,49360.40316,4130.193337,3.41780119,2.795891463,0.251801207,4.179143087,3.439198817
Guerrero,Huamuxtitlán,97970.6475,8197.617717,2.810528635,1.988723445,1.359034658,3.018393499,2.684587862
Guerrero,Huitzuco de los Figueroa,89213.95273,7464.908095,2.772937987,2.035901866,1.770025306,3.21276011,2.626098691
Guerrero,Iguala de la Independencia,184479.5614,15436.18379,2.982186079,1.918941215,5.059246056,3.209267278,2.874353696
Guerrero,Igualapa,105581.075,8834.414316,3.23617795,2.651611582,1.126874662,3.578093082,3.218033803
Guerrero,Ixcateopan de Cuauhtémoc,127357.9854,10656.58035,2.623318768,1.984705101,1.119121743,3.228019324,2.563193344
Guerrero,Zihuatanejo de Azueta,128357.448,10740.20961,2.62502927,1.940246475,7.24876294,2.829091698,2.573711821
Guerrero,Juan R. Escudero,117508.0504,9832.394706,3.162132404,2.297515317,1.693777588,3.532105715,3.088800429
Guerrero,Leonardo Bravo,72841.37256,6094.945185,2.776911729,2.137131026,2.319686438,3.604976531,2.821273479
Guerrero,Malinaltepec,126877.7221,10616.39469,3.331816609,2.684892185,0.132340983,3.990072432,3.336279848
Guerrero,Mártir de Cuilapan,73552.26964,6154.428945,3.12934004,2.452751699,0.712795386,3.829345653,3.09656811
Guerrero,Metlatónoc,53478.15826,4474.743292,3.345007941,2.777178565,0.235670882,4.418555241,3.414787937
Guerrero,Mochitlán,133902.2533,11204.16688,2.95338508,2.184637011,2.78099185,3.347452243,2.868670738
Guerrero,Olinalá,66068.20846,5528.205948,3.090831785,2.206018091,0.243487026,3.670589215,3.076716506
Guerrero,Ometepec,157307.2597,13162.56259,3.28668715,2.406979009,1.01187925,3.531094136,3.187110953
Guerrero,Pedro Ascencio Alquisiras,44648.05392,3735.89118,2.782823072,2.257153685,0.310607148,3.453929539,2.784664537
Guerrero,Petatlán,146541.568,12261.7517,3.003017241,2.459905691,4.352321281,3.383962384,3.00504207
Guerrero,Pilcaya,91469.41123,7653.631831,2.58603433,2.142096965,1.619084315,2.901812455,2.48335054
Guerrero,Pungarabato,147671.1957,12356.27242,2.919907979,2.23486372,2.808762882,2.952989384,2.75422322
Guerrero,Quechultenango,74299.36229,6216.941342,3.282891884,2.414564408,0.63756836,3.913455918,3.283766407
Guerrero,San Luis Acatlán,90776.82994,7595.680629,3.489012774,2.674877765,0.228765197,4.095479128,3.468069419
Guerrero,San Marcos,89776.79418,7512.003415,3.198705722,2.606810807,1.221821539,3.56761053,3.139999692
Guerrero,San Miguel Totolapan,46311.14972,3875.049427,3.26581717,2.503282658,0.42306557,3.811473615,3.225571726
Guerrero,Taxco de Alarcón,155246.7876,12990.15419,2.647317651,1.869385483,6.186316205,3.322182308,2.646835704
Guerrero,Tecoanapa,78610.58985,6577.679954,3.119091836,2.386060683,0.76337299,3.689922393,3.151173381
Guerrero,Técpan de Galeana,86859.93275,7267.937304,2.978402701,2.537726411,0.920593476,3.089433881,2.822975998
Guerrero,Teloloapan,107248.4774,8973.932919,2.631959991,2.184062442,2.171872354,2.94461033,2.613008227
Guerrero,Tepecoacuilco de Trujano,101897.1758,8526.166915,3.066324383,2.268819923,1.340079263,3.440711965,3.034132576
Guerrero,Tetipac,71132.70426,5951.973695,2.756664162,1.968763597,0.983255986,3.347591571,2.659763685
Guerrero,Tixtla de Guerrero,181169.8483,15159.24612,3.016041623,1.913798185,2.769073891,3.248031479,2.89002229
Guerrero,Tlacoachistlahuaca,78763.80671,6590.500256,3.659541323,2.835065746,0.308540813,4.470559211,3.637233934
Guerrero,Tlacoapa,74248.9373,6212.72207,2.95116163,2.327694986,0.286916836,3.838574424,2.95806014
Guerrero,Tlalchapa,75591.37153,6325.04921,2.736553132,2.37143745,1.328342521,2.961787899,2.672394168
Guerrero,Tlalixtaquilla de Maldonado,53280.45075,4458.20027,2.88255976,2.29008548,0.535790032,3.620928621,2.816088425
Guerrero,Tlapa de Comonfort,140441.2598,11751.31316,2.917699384,2.065682854,1.403938426,3.120624781,2.784362182
Guerrero,Tlapehuala,127845.3008,10697.3561,3.169496743,2.329828005,1.206465064,3.344636053,3.051117905
Guerrero,La Unión de Isidoro Montes de Oca,80703.23085,6752.780062,2.863457847,2.285199426,2.570449307,3.3547025,2.80140229
Guerrero,Xalpatláhuac,44342.28334,3710.306065,3.080911138,2.555249042,0.065028902,3.918829009,3.123697414
Guerrero,Xochihuehuetlán,61306.94532,5129.810958,2.513879431,1.952378491,0.886404523,3.130382775,2.43860444
Guerrero,Xochistlahuaca,55963.56377,4682.707664,3.355397738,2.815203596,0.470082543,4.039815349,3.396395687
Guerrero,Zapotitlán Tablas,47913.52391,4009.126841,3.229887081,2.44366134,0.180179418,3.876093295,3.22495396
Guerrero,Zirándaro,42905.13862,3590.054098,2.962595262,2.452655454,0.944193618,3.14528246,2.889478864
Guerrero,Zitlala,60634.98093,5073.584861,3.040248453,2.541088539,0.492575855,3.816613419,3.083820559
Guerrero,Eduardo Neri,120232.0718,10060.32508,2.860705086,1.928886297,3.471521895,3.147306438,2.722308866
Guerrero,Acatepec,77990.74599,6525.815001,3.27726482,2.896851581,0.08129355,4.216562603,3.286576857
Guerrero,Marquelia,122816.1402,10276.54499,3.165848038,2.364680759,2.22950228,3.388720956,2.993158462
Guerrero,Cochoapa el Grande,41951.11203,3510.226665,3.60386575,2.881203484,0.014715719,4.546505228,3.623004926
Guerrero,José Joaquín de Herrera,44732.44725,3742.952726,2.38743517,2.003112451,3.943092322,2.992492446,2.405422745
Guerrero,Juchitán,93235.36139,7801.396336,3.185882161,2.77906472,0.692679002,3.677437642,3.179947747
Guerrero,Iliatenco,159878.8525,13377.73861,3.170593267,2.524033667,0.19190518,3.769800557,3.137274305
Hidalgo,Acatlán,126016.9095,7163.284332,2.40920976,2.134513023,0.53606367,2.791087756,2.295368554
Hidalgo,Acaxochitlán,95879.19173,5450.140896,2.865804555,2.196084328,0.952415024,3.422273664,2.796623643
Hidalgo,Actopan,244323.6407,13888.29257,1.969249685,1.756934055,5.224149839,2.377620664,1.940274231
Hidalgo,Agua Blanca de Iturbide,147165.7325,8365.464523,2.146427336,1.931502162,0.91033726,2.742608714,2.104250602
Hidalgo,Ajacuba,175307.9513,9965.176148,1.929177214,1.715974184,8.219586968,2.481652734,1.934258293
Hidalgo,Alfajayucan,152996.1027,8696.885121,2.448073374,2.080938753,0.755377033,2.967635883,2.323066781
Hidalgo,Almoloya,156219.8022,8880.132562,1.776065051,1.515680441,6.602318691,2.435504848,1.731397037
Hidalgo,Apan,217764.1798,12378.55097,1.890133937,1.6529163,8.694455993,2.347371864,1.883878817
Hidalgo,El Arenal,203944.0439,11592.96146,2.06343491,1.863293386,2.211273994,2.595759887,2.033082149
Hidalgo,Atitalaquia,244526.831,13899.84268,1.743294252,1.523342808,6.953797694,2.247957034,1.727978951
Hidalgo,Atlapexco,169745.9069,9649.008221,3.042666907,2.557536891,0.413688111,3.620555041,2.98206409
Hidalgo,Atotonilco el Grande,164136.0282,9330.121202,2.191645532,1.876359254,1.724154803,2.577885907,2.082445247
Hidalgo,Atotonilco de Tula,185272.6328,10531.60686,1.898214117,1.598922783,11.56386884,2.479627107,1.998030463
Hidalgo,Calnali,147049.5326,8358.859277,2.428257046,2.018446349,1.38687948,3.141863144,2.390857564
Hidalgo,Cardonal,211004.4932,11994.30446,2.252956018,1.883170304,1.332836985,2.661382873,2.163825476
Hidalgo,Cuautepec de Hinojosa,148003.8139,8413.104283,2.037194701,1.790900999,3.50141517,2.590956542,2.024950299
Hidalgo,Chapantongo,131780.6802,7490.919159,2.388130904,1.945229862,1.381660943,2.909258834,2.240226586
Hidalgo,Chapulhuacán,108935.8296,6192.330256,2.350749809,2.006870164,0.460331721,2.78559061,2.206642174
Hidalgo,Chilcuautla,233864.0009,13293.72653,2.235860791,1.929290901,1.334080111,2.81273135,2.136818237
Hidalgo,Eloxochitlán,90534.23932,5146.313306,1.779609403,1.595884012,2.457288401,2.578651685,1.725012684
Hidalgo,Emiliano Zapata,216578.1849,12311.13447,1.781967537,1.533925729,12.90023097,2.345300047,1.821615921
Hidalgo,Epazoyucan,196116.9007,11148.03662,1.974548085,1.734920868,5.746864464,2.516732619,1.928760256
Hidalgo,Francisco I. Madero,303184.2551,17234.15558,1.933583336,1.722695107,4.355087255,2.444868746,1.900727331
Hidalgo,Huasca de Ocampo,130229.9411,7402.769206,2.364479848,1.980111403,0.75961601,2.686957797,2.234476406
Hidalgo,Huautla,139172.6923,7911.109471,2.75968917,2.264540622,0.931002528,3.551815632,2.769860652
Hidalgo,Huazalingo,145402.2058,8265.218907,2.811313424,2.269877382,0.325573624,3.768988356,2.806687755
Hidalgo,Huehuetla,126174.2315,7172.227118,2.886372801,2.236321788,0.504497042,3.741808467,2.79284292
Hidalgo,Huejutla de Reyes,190376.4657,10821.72829,2.898090982,2.262863243,2.765240508,3.322127356,2.875584608
Hidalgo,Huichapan,196619.8882,11176.62836,1.968168204,1.696363095,3.959728094,2.517205174,1.890909378
Hidalgo,Ixmiquilpan,218589.5092,12425.46586,2.231718203,1.93413188,2.477879985,2.671447251,2.153780665
Hidalgo,Jacala de Ledezma,129267.1055,7348.037934,2.012177306,1.778548413,0.675257194,2.709603614,1.926501905
