NOM_ENT,NOM_MUN,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Coahuila de Zaragoza,Nadadores,1.6472057545,1.4540272988,12.7958427328,2.2158730159,1.6608517188
Coahuila de Zaragoza,Nava,1.7649240548,1.5404566213,13.6795721888,2.3147364503,1.8919549609
Coahuila de Zaragoza,Ocampo,1.9800944239,1.6223469565,4.5785123967,2.7605042017,2.0466032924
Coahuila de Zaragoza,Parras,1.9703154182,1.6868099289,13.1069512234,2.4218092168,2.0953682365
Coahuila de Zaragoza,Piedras Negras,1.8294035913,1.5804707519,10.0092471888,2.278535707,1.9507845646
Coahuila de Zaragoza,Progreso,1.8776489713,1.594099809,5.6031897927,2.4867109635,2.0190985485
Coahuila de Zaragoza,Ramos Arizpe,1.8995175827,1.5940149966,10.3049180428,2.4448213733,2.0403213373
Coahuila de Zaragoza,Sabinas,1.6517499719,1.48294016,15.2448211071,2.3479601804,1.7846479606
Coahuila de Zaragoza,Sacramento,2.2187860487,1.654039879,5.267826087,2.4909747292,2.0655737705
Coahuila de Zaragoza,Saltillo,1.8781456315,1.5234830592,11.3548787229,2.2706329532,1.9271581406
Coahuila de Zaragoza,San Buenaventura,1.8054129731,1.5129566954,14.5394479608,2.3670724991,1.8418214359
Coahuila de Zaragoza,San Juan de Sabinas,1.5535612096,1.3968576499,20.3434317844,2.2572983106,1.688216178
Coahuila de Zaragoza,San Pedro,2.2302601962,1.8824547819,9.1694463379,2.8608699152,2.4329756664
Coahuila de Zaragoza,Sierra Mojada,1.6207165356,1.4022344619,13.115146709,2.4549019608,1.6923076923
Coahuila de Zaragoza,Torreón,1.9232607702,1.5983576012,11.4621012521,2.330774096,1.9776524032
Coahuila de Zaragoza,Viesca,2.1586357965,1.8969830456,7.9798031539,2.7170882955,2.3825544933
Coahuila de Zaragoza,Villa Unión,2.0034042193,1.6155282971,7.0207134638,2.3663682864,1.9652415711
Coahuila de Zaragoza,Zaragoza,1.8539605706,1.6648690023,6.9696070565,2.3226015719,1.9217049276
Colima,Armería,2.0233810431,1.7482642257,3.8494190874,2.5718936657,2.0023633042
Colima,Colima,1.9414755838,1.6262487087,6.4865104819,2.4169036761,1.9320671049
Colima,Comala,2.2492175663,1.8294480741,3.42630065,2.6910741494,2.1664124985
Colima,Coquimatlán,2.1319713209,1.9431017852,5.5789075154,2.8826561312,2.2137827441
Colima,Cuauhtémoc,1.7748626906,1.5805455014,7.3093291794,2.4945213526,1.8375996139
Colima,Ixtlahuacán,2.2441948008,1.8041638576,1.7084690554,3.1701244813,2.0857346987
Colima,Manzanillo,1.8284973302,1.5878418476,8.102553978,2.3365271196,1.8699267703
Colima,Minatitlán,2.1027384562,1.7915490958,4.6883648989,2.8786430984,2.1627203999
Colima,Tecomán,2.2260445835,1.8537691202,4.7806071938,2.8466445323,2.2531577174
Colima,Villa de Álvarez,1.7563490011,1.5921880762,7.0211585638,2.2085858135,1.8030259868
Chiapas,Acacoyagua,2.739052776,2.4681135329,1.0104133621,3.2310742218,2.7855850149
Chiapas,Acala,2.8845236269,2.0111324308,3.6524421216,3.3357735685,2.8994993359
Chiapas,Acapetahua,2.7627008015,2.3296595314,1.2835248877,3.1986180201,2.7116223663
Chiapas,Altamirano,2.6870284086,1.9398314201,2.3076506939,3.5328818875,2.8212710188
Chiapas,Amatán,2.9700123056,2.6054057988,0.2180065506,3.6213240238,2.9765563477
Chiapas,Amatenango de la Frontera,2.4524204347,2.0382472878,1.3469996999,2.9711187746,2.431154853
Chiapas,Amatenango del Valle,2.6118295188,2.1377597155,3.1641364529,3.398061613,2.7395708528
Chiapas,Angel Albino Corzo,2.7347240236,2.1111267186,0.672939333,3.3186924568,2.6959222245
